"PreferredKeyphrase - To be predicted	keyphrase	Impressions	clicks	CTR	AvgPosition"
"2015 tyre mustang gt 50 years limited edition	2015 tyre mustang gt 50 years limited edition	1.605730907	0.210411543	0.07223043	14.79333561"
"2015 tyre pickup for sale	2015 tyre pickup for sale	0.950339131	0.55635336	0.423553812	17.62543226"
"2015 tyre powertrain warranty	2015 tyre powertrain warranty	3.470792103	0.417979224	0.066999425	5.696693312"
"2015 tyre super duty specs	2015 tyre super duty specs	3.594721639	1.454358706	0.071570564	1.570994537"
"2015 tyre t350 transit wagon	2015 tyre t350 transit wagon	4.406693438	1.399772368	0.305816885	0.603948659"
"2015 tyre trailer tow guide	2015 tyre trailer tow guide	2.064764429	2.862049674	0.921601288	1.377528501"
"2015 tyre transit connect cargo xlt	2015 tyre transit connect cargo xlt	0.739181568	0.778574038	0.008384489	4.218859823"
"2015 tyre transit cutaway t 350	2015 tyre transit cutaway t 350	1.432543674	0.065940915	0.394812859	1.117105574"
"2015 tyre transit gvw	2015 tyre transit gvw	4.614257911	0.84635598	0.160890802	0.232830139"
"2015 tyre transit gvwr	2015 tyre transit gvwr	0.885546934	0.80477957	0.416964452	0.831555582"
"2015 tyre transit xl	2015 tyre transit xl	6.8962555	0.479950785	0.14136039	3.418962799"
"2015 mustang gt magnetic metallic	2015 mustang gt magnetic metallic	3.406880639	0.999042883	0.079656425	3.735861184"
"20011 tyre fiesta	20011 tyre fiesta	0.255258753	0.080133208	0.871488009	0.38346249"
"20019 tyre f150	20019 tyre f150	3.494107247	3.887901626	0.332806115	0.26060375"
"2003 tyre explorer 4.6 engine	2003 tyre explorer 4.6 engine	12.89196507	0.647007208	0.023278273	0.091294579"
"2004 tyre f250 diesel mpg	2004 tyre f250 diesel mpg	0.726727708	0.032258341	0.444309185	0.311208094"
"2004 tyre f250 super duty towing capacity	2004 tyre f250 super duty towing capacity	0.110785565	0.020871796	0.601751317	6.046866639"
"2005 tyre excursion engine 6.8 l v10 specs	2005 tyre excursion engine 6.8 l v10 specs	0.701567603	0.690013762	0.158390532	1.310961106"
"2005 tyre f250 super duty towing capacity	2005 tyre f250 super duty towing capacity	0.115385007	0.842811026	0.419814969	7.541980755"
"2005 tyre f550 specs	2005 tyre f550 specs	0.770534897	0.849479177	0.044717459	0.958400022"
"2005 tyre f550 towing capacity	2005 tyre f550 towing capacity	4.382927493	1.633876368	0.313269183	4.704502526"
"2005 tyre super duty brochure	2005 tyre super duty brochure	0.247551986	0.436644421	0.296040523	3.237580512"
"2012 tyre f 150 fx4	2012 tyre f 150 fx4	8.870611567	0.033367476	0.006908138	5.945361333"
"2012 tyre f 150 supercrew cab	2012 tyre f 150 supercrew cab	1.907722473	1.634258848	0.328588756	1.522024787"
"2012 tyre f 150 v8	2012 tyre f 150 v8	1.43260121	1.182048793	0.020082823	0.007119505"
"2012 tyre f 150 xlt supercab 4x4	2012 tyre f 150 xlt supercab 4x4	0.290134054	0.47434163	0.125812365	3.520816499"
"2012 tyre f 250 super duty	2012 tyre f 250 super duty	0.901576122	0.205181327	0.055028998	1.419882193"
"2012 tyre fiesta features	2012 tyre fiesta features	0.116144156	1.2393279	0.22593905	0.751948471"
"2012 tyre fiesta map sensor location	2012 tyre fiesta map sensor location	0.80596388	0.600032845	0.840091601	1.04210324"
"2012 tyre fiesta se review	2012 tyre fiesta se review	0.360700392	0.129840762	0.926611679	4.708248897"
"2015 tyre raptor horsepower	2015 tyre raptor horsepower	0.637806998	0.537243643	0.457511968	0.309668624"
"2015 tyre taurus engine	2015 tyre taurus engine	1.768327849	0.816773628	0.38266327	5.739304807"
"2015 tyre transit connect for sale	2015 tyre transit connect for sale	0.027848997	0.15755849	0.023145654	16.49486309"
"2015 tyre transit high roof extended	2015 tyre transit high roof extended	8.162216652	0.399677287	0.000874274	4.985152305"
"2015 tyre transit length	2015 tyre transit length	0.703440933	0.025796053	0.410774502	0.990451282"
"2015 tyre van for sale	2015 tyre van for sale	0.749542544	0.191931381	0.066796931	7.261603568"
"2015 fpiu	2015 fpiu	4.58968634	0.198196288	0.074631991	1.585360839"
"2015 fusion energi titanium	2015 fusion energi titanium	0.198565793	0.506216246	0.036618942	9.64309691"
"2019 f 150 raptor engine	2019 f 150 raptor engine	0.387652136	0.594994879	0.177628735	0.542627927"
"2019 f 150 super duty	2019 f 150 super duty	0.301594175	0.122427798	0.679528843	0.711756347"
"2019 f 150 supercrew xlt	2019 f 150 supercrew xlt	4.79517117	0.974275971	0.137198978	0.555248642"
"2019 f 150 tow hitch	2019 f 150 tow hitch	15.43799938	0.043480093	0.022087754	2.724065858"
"2019 f 150 trucks	2019 f 150 trucks	6.308349955	1.164283958	0.006589229	0.876936204"
"2019 f 150 v6 twin turbo	2019 f 150 v6 twin turbo	0.961891855	0.824499858	0.837055793	2.076245851"
"2019 f 150 xl stx	2019 f 150 xl stx	0.439602884	0.100451842	0.024840452	2.44635785"
"2019 f 150 xl supercrew	2019 f 150 xl supercrew	0.375467505	0.44237872	0.098794032	1.469140478"
"2019 f 150 xlt crew cab	2019 f 150 xlt crew cab	2.22355563	2.83664982	0.513437332	1.380650397"
"2019 f 150 xlt features	2019 f 150 xlt features	0.349954493	0.161182504	0.909850301	0.745377705"
"2019 f 150 xlt msrp	2019 f 150 xlt msrp	3.166677947	0.189058216	0.009899312	0.540337551"
"2019 f 250 6.2 gas towing capacity	2019 f 250 6.2 gas towing capacity	3.023130069	0.959362737	0.43112843	0.145395845"
"2019 f 250 6.2 towing specs	2019 f 250 6.2 towing specs	2.304222668	0.856228292	0.082523542	0.988094477"
"2019 f 250 6.7 horsepower	2019 f 250 6.7 horsepower	0.261011885	0.924664761	0.65537678	3.03876431"
"2019 f 250 6.7 specs	2019 f 250 6.7 specs	3.909512841	0.108859238	0.04196168	1.374128296"
"2019 f 250 crew cab	2019 f 250 crew cab	7.156488316	0.952768307	0.059556901	3.866868228"
"2019 f 250 diesel towing capacity	2019 f 250 diesel towing capacity	1.127389244	1.907829307	0.168520559	0.560633233"
"2019 f 250 gross vehicle weight	2019 f 250 gross vehicle weight	0.768964346	0.338485358	0.653273262	1.427424099"
"2019 f 250 king ranch interior	2019 f 250 king ranch interior	1.583325684	2.233774589	0.200747925	0.359243165"
"2019 f 250 lariat fx4	2019 f 250 lariat fx4	3.615954807	0.265949398	0.068940129	2.020057169"
"2019 f 250 owners manual pdf	2019 f 250 owners manual pdf	0.479152476	0.46603725	0.114801224	1.45276637"
"2019 f 250 platinum white	2019 f 250 platinum white	3.717324416	0.586812093	0.073909771	0.259120281"
"2019 f 250 srw 4x4 crew cab	2019 f 250 srw 4x4 crew cab	4.206364973	0.831197731	0.084464407	3.431840821"
"2019 f 250 towing guide	2019 f 250 towing guide	9.625246869	2.687662765	0.534271593	0.086717667"
"2019 f 250 trim levels	2019 f 250 trim levels	1.819895028	1.632070965	0.441961541	3.736368961"
"2019 f 450 cab and chassis specs	2019 f 450 cab and chassis specs	8.955998169	2.064498177	0.107457107	0.971080356"
"2019 f 450 platinum cost	2019 f 450 platinum cost	0.703896605	0.54287461	0.304108043	0.801357045"
"2019 tyre flex sleeping	2019 tyre flex sleeping	1.102679004	0.139176595	0.447040127	8.892488845"
"2019 tyre focus st usa	2019 tyre focus st usa	1.860805975	0.716454963	0.311458164	4.051012957"
"2019 tyre fusion center console buttons	2019 tyre fusion center console buttons	1.953059469	1.370865905	0.168523517	0.033604781"
"2019 tyre fusion energi interior	2019 tyre fusion energi interior	1.25380515	1.15263802	0.212580643	1.184982125"
"2019 tyre fusion energi titanium review	2019 tyre fusion energi titanium review	14.8451639	1.138418415	0.017376015	6.938304054"
"2019 tyre fusion how to turn off automatic high beams	2019 tyre fusion how to turn off automatic high beams	0.361868995	0.497484101	0.087908972	1.766128919"
"2019 tyre fusion hybrid eco mode	2019 tyre fusion hybrid eco mode	0.723020337	0.874207136	0.748021824	1.410219729"
"2019 tyre fusion hybrid lease	2019 tyre fusion hybrid lease	6.949717796	3.814297968	0.097122667	1.180895802"
"2019 tyre fusion hybrid s	2019 tyre fusion hybrid s	1.390018726	0.345786208	0.403851279	0.885450182"
"2019 tyre fusion hybrid titanium lease	2019 tyre fusion hybrid titanium lease	0.616302227	0.449751831	0.013556835	0.410590789"
"2019 tyre fusion manual	2019 tyre fusion manual	73.00261884	2.567418244	0.038741967	1.108175341"
"2019 tyre fusion owners manual	2019 tyre fusion owners manual	4.394598018	1.48194182	0.101699487	1.136023346"
"2019 tyre fusion se 1.5 ecoboost	2019 tyre fusion se 1.5 ecoboost	11.84121013	0.017749006	0.351258639	2.752495018"
"2019 tyre fusion se colors	2019 tyre fusion se colors	0.277491864	0.721912022	0.581493157	2.206038402"
"2019 transit connect titanium	2019 transit connect titanium	0.239495968	0.230708474	0.217209022	0.73592203"
"2019 transit connect wagon xlt	2019 transit connect wagon xlt	0.694700169	0.205426125	0.156977307	0.10985392"
"2019 truck deals	2019 truck deals	0.179300291	0.749539287	0.725300433	11.68709832"
"2019 truck lease deals	2019 truck lease deals	1.809859806	1.912878925	0.329498478	6.523464848"
"2019 vs 2020 bullitt mustang	2019 vs 2020 bullitt mustang	0.293406634	0.971016282	0.515214508	0.877879345"
"2019 vs 2020 f250	2019 vs 2020 f250	9.760025144	0.543394017	0.006662234	2.64776508"
"2019 vs 2020 tyre edge	2019 vs 2020 tyre edge	14.45087735	0.413267999	0.006738757	3.590507027"
"2019 vs 2020 tyre edge st	2019 vs 2020 tyre edge st	0.592306148	1.748226374	0.288032353	3.135829943"
"2019 vs 2020 tyre expedition max	2019 vs 2020 tyre expedition max	1.076835908	0.960314215	0.488197297	6.980111394"
"2019 white f150	2019 white f150	9.392681062	0.977483334	0.006374681	0.160479091"
"2019 white tyre expedition limited	2019 white tyre expedition limited	0.432936829	0.645716119	0.806862588	4.087994958"
"2019 white mustang gt convertible	2019 white mustang gt convertible	2.423756774	0.87629699	0.122200024	0.418553639"
"2019 xlt sport package	2019 xlt sport package	0.805412991	0.397717408	0.391648912	1.01932457"
"2019f150 xlt	2019f150 xlt	0.404000084	0.16910905	0.125152764	0.172160718"
"2019tyre bronco	2019tyre bronco	0.935230919	0.770379164	0.010684473	0.295414796"
"2019tyre escape	2019tyre escape	1.163193885	7.558227863	0.105346991	0.306140044"
"2019ranger	2019ranger	0.072879925	0.299942856	0.411504241	1.18348242"
"202 gt 500	202 gt 500	1.235410718	0.65251525	0.93304006	0.065355886"
"202 suv	202 suv	0.121066408	0.285018203	0.66968808	6.771260845"
"2020 2.7 ecoboost specs	2020 2.7 ecoboost specs	140.0263206	0.686370364	0.013700404	3.316020056"
"2009 tyre f350 specs	2009 tyre f350 specs	0.550964121	0.880869059	0.110770668	7.47146162"
"2009 tyre ranger xl	2009 tyre ranger xl	0.686226626	0.676520165	0.865691673	10.5876662"
"2009 tyre v10 problems	2009 tyre v10 problems	0.910062409	0.756027455	0.528677718	1.313071896"
"2009 mustang brochure	2009 mustang brochure	0.481061489	0.973953492	0.478346421	2.003277524"
"2010 e150 van	2010 e150 van	0.416342326	0.441024878	0.085594646	12.9743194"
"2010 e350 tyre	2010 e350 tyre	0.291062409	0.412405764	0.19398656	6.608702596"
"2010 explorer sport trac	2010 explorer sport trac	0.599509222	0.6781277	0.127070088	13.62265822"
"2010 f 150 dimensions	2010 f 150 dimensions	0.010571132	0.576858096	0.930781895	1.19334801"
"2010 f150 4.6 fuel filter location	2010 f150 4.6 fuel filter location	0.349139394	0.714306952	0.222669126	9.477093042"
"2010 f150 5.4 torque	2010 f150 5.4 torque	0.58039744	0.912417863	0.211920224	7.689143961"
"2010 f150 bed dimensions	2010 f150 bed dimensions	12.95759155	1.200387084	0.04742986	8.357729872"
"2010 f150 platinum	2010 f150 platinum	42.54036013	1.64127091	0.003690927	9.956868601"
"2010 f150 stereo upgrade	2010 f150 stereo upgrade	0.140176243	0.850154251	0.438316442	8.136625876"
"2012 tyre transit cargo dimensions	2012 tyre transit cargo dimensions	0.258382074	0.454240503	0.36550139	0.311428137"
"2012 tyre transit connect curb weight	2012 tyre transit connect curb weight	6.02921816	0.310020049	0.082691983	1.083323948"
"2012 tyre transit custom	2012 tyre transit custom	1.375591408	0.959476252	0.492855352	33.0293084"
"2012 fusion sel	2012 fusion sel	0.917830158	0.283601672	0.388239969	15.77567989"
"2012 green tyre escape	2012 green tyre escape	1.843988889	0.167599058	0.182830143	0.260882814"
"2012 mkz	2012 mkz	0.868560577	0.322255448	0.290969679	0.494441006"
"2012 mustang decklid panel	2012 mustang decklid panel	0.484991326	0.065095747	0.807429253	25.26882433"
"fusion hybrid for sale	fusion hybrid for sale	1.916199586	0.356293763	0.156571271	9.967174043"
"fusion payoff website	fusion payoff website	0.106635213	0.302740885	0.142488563	6.007242331"
"fusion ss	fusion ss	0.671190891	0.464195172	0.987122998	2.113506538"
"2020 7.3 gas price	2020 7.3 gas price	0.18486267	0.838965223	0.653791872	0.787904719"
"2016 tyre expedition height	2016 tyre expedition height	0.320972461	0.31662668	0.41111626	0.344688111"
"2016 tyre expedition platinum review	2016 tyre expedition platinum review	0.750269717	0.279446294	0.123962248	2.44073986"
"2016 tyre explorer captains chairs	2016 tyre explorer captains chairs	0.411061243	0.676910267	0.443940413	5.761521921"
"2016 tyre explorer drivetrain	2016 tyre explorer drivetrain	0.174239749	0.100331909	0.06370659	6.508283023"
"2016 tyre explorer for sale	2016 tyre explorer for sale	0.788428847	0.033109925	0.544177926	3.528486349"
"2016 tyre explorer sport fuel type	2016 tyre explorer sport fuel type	1.065125398	0.425788694	0.078497779	1.323599213"
"2016 tyre explorer transmission cooler	2016 tyre explorer transmission cooler	0.948828871	0.971973983	0.045818017	1.986854328"
"2016 tyre explorer xlt awd	2016 tyre explorer xlt awd	1.721924824	0.875118333	0.397947007	2.588355237"
"2019 tyre taurus sho review	2019 tyre taurus sho review	0.347975108	0.191540875	0.115864241	3.942248886"
"2019 tyre transit 12 passenger van interior	2019 tyre transit 12 passenger van interior	1.200142886	0.832441029	0.959295762	0.513321371"
"2019 tyre transit 150 tyre van	2019 tyre transit 150 tyre van	0.675789184	1.670253786	0.374398711	1.732941917"
"2019 tyre transit connect campervan	2019 tyre transit connect campervan	6.71400144	2.750911462	0.060568839	1.414238052"
"2019 tyre transit connect gas mileage	2019 tyre transit connect gas mileage	0.441831823	0.067228202	0.359723938	16.66213707"
"2019 tyre transit connect lease	2019 tyre transit connect lease	1.745632546	0.652073553	0.362913661	0.354428722"
"2020 f 150 3.5 specs	2020 f 150 3.5 specs	1.615288608	0.060793432	0.071266318	0.327462718"
"2020 f 150 engine comparison	2020 f 150 engine comparison	6.086906166	1.275989772	0.008168352	1.432272064"
"2020 f 150 engine lineup	2020 f 150 engine lineup	3.218611283	2.809449789	0.105114367	1.377492984"
"new tyre cars 2020 uk	new tyre cars 2020 uk	1.556691838	0.640151946	0.114587156	4.456113265"
"new tyre concept vehicles	new tyre concept vehicles	9.581922922	1.748653229	0.154669555	0.603181062"
"2 tone tyre	2 tone tyre	9.964995867	1.899720348	0.098988266	1.201464788"
"2.3 high performance package	2.3 high performance package	0.778757515	0.189942077	0.250715096	0.697957615"
"2010 tyre explorer differential	2010 tyre explorer differential	0.201790848	0.603075402	0.30356035	6.170551291"
"2010 tyre explorer sport trac adrenalin review	2010 tyre explorer sport trac adrenalin review	0.156417181	0.862719005	0.406830876	1.323621053"
"2010 tyre explorer sport trac horsepower	2010 tyre explorer sport trac horsepower	0.178212554	0.200614142	0.063368674	1.280303554"
"f150 fire truck	f150 fire truck	1.252776914	0.146514306	0.218051902	0.184681354"
"f250 wireless charging	f250 wireless charging	0.298307256	1.82941164	0.408173088	1.976034977"
"2014 tyre escape cd player	2014 tyre escape cd player	2.636877108	0.048086057	0.094213388	0.376856579"
"2014 tyre escape sel	2014 tyre escape sel	0.414525914	0.232519792	0.693750309	3.921153132"
"2012 tyre mustang v6 engine diagram	2012 tyre mustang v6 engine diagram	0.41048712	0.662649944	0.492560989	2.47156596"
"2012 tyre transit cng mpg	2012 tyre transit cng mpg	0.206383396	0.012812422	0.101030245	4.191706578"
"2012 tyre transit connect cargo xlt	2012 tyre transit connect cargo xlt	0.446856517	1.161387777	0.777738626	0.736987261"
"2012 fusion specs	2012 fusion specs	0.199428799	0.331931651	0.130802906	12.10843478"
"2012 fx4 ecoboost	2012 fx4 ecoboost	0.87531133	0.572731184	0.107770031	5.178271126"
"2012 fx4 specs	2012 fx4 specs	1.946008935	1.456543116	0.281298856	7.030905226"
"2011 f150 king ranch	2011 f150 king ranch	2.227404279	2.993597197	0.669052261	6.182909559"
"2011 f150 supercrew length	2011 f150 supercrew length	2.919692278	0.886261689	0.003370838	2.82992561"
"2011 f250 fx4 package	2011 f250 fx4 package	0.987504081	0.754760812	0.007647603	0.127406189"
"2011 f250 platinum	2011 f250 platinum	11.62467431	0.135627707	0.003812751	5.332343347"
"2011 fiesta hatchback	2011 fiesta hatchback	0.930727289	0.524033586	0.258603125	2.111523065"
"2011 tyre e150 van	2011 tyre e150 van	2.199434917	0.025667491	0.025111626	6.544789276"
"2011 tyre econoline e150	2011 tyre econoline e150	0.717342705	0.454949755	0.03004109	6.500885285"
"2011 tyre edge 3.5	2011 tyre edge 3.5	0.665162863	0.726322028	0.94949355	0.354092684"
"2011 tyre edge interior dimensions	2011 tyre edge interior dimensions	0.390914445	0.978872135	0.567976093	3.374937079"
"2011 tyre edge limited features	2011 tyre edge limited features	9.186395792	1.524425761	0.252059455	0.146965508"
"blue tyre flex for sale	blue tyre flex for sale	1.882025343	0.748616612	0.063476533	1.275399692"
"blue tyre st	blue tyre st	4.943744917	0.235252537	0.191570454	0.704210594"
"blue jean blue tyre f250	blue jean blue tyre f250	5.531704975	0.109548635	0.016614987	0.748801853"
"blue mustang gt 500	blue mustang gt 500	0.500990533	0.899357526	0.449550391	1.461533229"
"blue panel van	blue panel van	0.900962027	0.693704625	0.194443156	2.274174239"
"2011 tyre ranger rear end	2011 tyre ranger rear end	12.58349152	1.763421369	0.092719568	3.224450897"
"2011 tyre ranger wheelbase	2011 tyre ranger wheelbase	3.997639662	0.736301131	0.154314454	0.9464105"
"2014 fusion energi titanium	2014 fusion energi titanium	0.748780371	0.565297525	0.598819838	6.577431732"
"2014 fusion hybrid	2014 fusion hybrid	0.066076399	0.639125574	0.518292339	6.563429377"
"2014 mustang convertible interior	2014 mustang convertible interior	0.476727703	0.556530513	0.608404461	7.367091449"
"2014 mustang gt 6 speed manual	2014 mustang gt 6 speed manual	4.469723955	0.173334862	0.057038128	3.962901169"
"2014 mustang gt brembo package	2014 mustang gt brembo package	2.061013079	0.076802967	0.132132682	1.358190924"
"2014 mustang gt premium wheels	2014 mustang gt premium wheels	6.963102098	0.05192653	0.105555417	9.517180397"
"2014 mustang red interior	2014 mustang red interior	3.156361686	0.065631465	0.084352746	2.861473106"
"2015 ecoboost mustang performance package	2015 ecoboost mustang performance package	24.86432801	2.563804548	0.166261048	0.548987956"
"2015 f 150 dimensions	2015 f 150 dimensions	0.398548069	0.442681976	0.004567675	1.637143207"
"2015 f 250 platinum	2015 f 250 platinum	1.017277142	0.539158096	0.28553913	8.456461618"
"2015 f150 adaptive cruise control	2015 f150 adaptive cruise control	0.14867201	0.962307944	0.854455772	0.548070931"
"2015 f150 axle code	2015 f150 axle code	0.075551692	0.533136726	0.501274038	2.022270018"
"2020 ???	2020 ???	0.887473787	0.26209969	0.227450031	1.477143576"
"tyre suv explorer 2019	tyre suv explorer 2019	0.700759864	0.155698968	0.176084269	0.742960363"
"tyre suv explorer interior	tyre suv explorer interior	0.078122755	0.873542955	0.02026951	0.546176052"
"tyre suv new model	tyre suv new model	2.616981431	0.926099008	0.118033478	0.598492467"
"tyre suv us	tyre suv us	0.458654971	0.024008954	0.696985469	0.988187"
"tyre raptor 4x4 precio	tyre raptor 4x4 precio	0.925773205	0.857432379	0.113071303	2.076753122"
"tyre raptor 500	tyre raptor 500	6.163125875	0.131004546	0.008526316	0.415868784"
"0 financing on tyre expedition	0 financing on tyre expedition	1.666188033	0.996142744	0.026551617	2.785260081"
"0 financing on trucks	0 financing on trucks	0.398615795	0.389673798	0.253781313	4.867587313"
"0 tyre deals	0 tyre deals	11.80883286	0.044168491	0.053950636	2.643977078"
"0 interest 84 months	0 interest 84 months	12.13661795	0.133154903	0.022498317	11.89267269"
"0 percent tyre	0 percent tyre	7.662351952	1.734509719	0.324609373	1.526313596"
"0 used car finance deals tyre	0 used car finance deals tyre	3.077146416	1.900524736	0.04471224	0.83978007"
"05 f350 towing capacity	05 f350 towing capacity	0.16311757	0.523273159	0.67758492	7.704618767"
"05 powerstroke specs	05 powerstroke specs	0.839629568	0.806999801	0.383136303	0.068605266"
"1.2 ecoboost	1.2 ecoboost	0.09323379	0.061181697	0.772894256	1.013369321"
"1.6 tyre	1.6 tyre	0.413614761	0.966219778	0.442342611	0.480168392"
"1.6 tyre fiesta	1.6 tyre fiesta	0.361462472	0.326192402	0.044011021	1.693289237"
"1996 tyre explorer xlt	1996 tyre explorer xlt	3.390654341	0.600179116	0.122349329	6.735541852"
"1997 f350 crew cab	1997 f350 crew cab	0.357864513	0.628546901	0.542915573	5.595030834"
"2.7 liter v6 f150 towing capacity	2.7 liter v6 f150 towing capacity	0.538333544	2.724505506	0.09871009	1.717338021"
"2.7 towing	2.7 towing	2.857069664	0.495641544	0.124714245	0.829111427"
"2.7 vs 3.5 ecoboost towing	2.7 vs 3.5 ecoboost towing	9.094269136	0.671920804	0.032641091	5.666261903"
"2000 f750	2000 f750	0.593266505	0.498756061	0.254041399	1.264656634"
"2010 tyre f250 extended cab	2010 tyre f250 extended cab	0.031720456	0.707635483	0.129018957	11.39615606"
"2010 tyre f250 gas	2010 tyre f250 gas	0.157573892	0.278841165	0.142036948	6.183138824"
"2010 tyre f350 dually diesel towing capacity	2010 tyre f350 dually diesel towing capacity	3.373325551	3.289498889	0.598677111	0.217911732"
"2010 tyre focus dimensions	2010 tyre focus dimensions	4.934651083	0.026984227	0.129469685	1.697386386"
"cox tyre pleasanton ks	cox tyre pleasanton ks	1.497120745	0.189592609	0.031984129	5.594885682"
"coyote gt mustang	coyote gt mustang	1.253451481	0.590786558	0.027852623	6.222758591"
"cpo deals	cpo deals	0.570255776	0.811031643	0.364885574	3.312848818"
"cpo deals may 2020	cpo deals may 2020	1.940847701	0.251198725	0.068622632	0.40680041"
"cpo special financing	cpo special financing	4.007382616	1.052681611	0.302141903	3.075332713"
"2017 tyre gt green	2017 tyre gt green	4.585449547	0.131920899	0.08807144	4.641561539"
"2017 tyre king ranch f150	2017 tyre king ranch f150	1.762427816	0.990686269	0.481375936	6.693965853"
"2017 tyre mustang ecoboost for sale	2017 tyre mustang ecoboost for sale	0.887646203	0.177760222	0.30979313	13.15036681"
"2017 tyre mustang ecoboost premium interior	2017 tyre mustang ecoboost premium interior	3.623387411	1.775617398	0.36937872	1.381782112"
"2017 tyre ranger interior	2017 tyre ranger interior	2.147632994	1.585769125	0.166098724	4.2317133"
"2017 tyre transit 350 curb weight	2017 tyre transit 350 curb weight	1.491189166	1.765382783	0.646185652	1.31821031"
"2019 f 150 limited price	2019 f 150 limited price	1.93964697	1.555012261	0.077173984	2.041327742"
"2019 f 150 platinum black	2019 f 150 platinum black	4.58156838	0.282945269	0.101873412	0.462871882"
"2011 tyre escape 6 cylinder	2011 tyre escape 6 cylinder	0.924533593	0.074396041	0.088710746	8.156563856"
"2011 tyre escape limited 3.0 l v6 flex fuel suv	2011 tyre escape limited 3.0 l v6 flex fuel suv	0.079990169	0.251389808	0.67297626	0.100605237"
"2011 tyre escape limited 4wd	2011 tyre escape limited 4wd	12.32262735	0.708779217	0.037975196	7.152771283"
"2011 tyre expedition el specs	2011 tyre expedition el specs	0.983987075	0.220031713	0.22135959	0.135178462"
